0,1,2,3,4,5
7.3052397,11.166343,0.5609292,0.4814347,0.4061545,0.4245235
4.3871045,5.9360027,0.58548474,0.9738561,0.32461283,0.4161389
10.415007,13.382596,0.25628743,0.07439387,0.34184104,0.45294264
4.476924,6.189767,0.58612686,0.9719269,0.33679342,0.41577595
4.4483643,6.016972,0.58300066,0.9736775,0.32487983,0.4183137
4.431701,6.015724,0.5930221,0.9745083,0.33087534,0.41705054
11.658508,14.705581,0.16091397,0.02894029,0.36020267,0.45923626
4.975068,11.441058,0.61703885,0.7273934,0.46755072,0.40946406
11.68479,14.68429,0.16035652,0.026791483,0.35762966,0.4604967
11.724918,14.682156,0.15750313,0.025973767,0.3588287,0.46063125
10.085382,14.435042,0.26362276,0.04465425,0.35402462,0.4596955
11.701023,14.635048,0.15792769,0.025623947,0.36051437,0.4607852
10.078697,12.517742,0.18878114,0.08596146,0.3008498,0.4605024
4.5557876,6.0997496,0.5947081,0.9762689,0.33326757,0.42130727
9.740112,12.9775095,0.28392082,0.08409691,0.3227765,0.4605642
11.686912,14.554825,0.15673345,0.024052262,0.3611296,0.46184704
6.196492,7.588091,0.47606224,0.85828257,0.3066585,0.4367322
11.675643,14.494457,0.15634024,0.024019182,0.36195648,0.4622674
4.803119,6.223583,0.56347597,0.9740443,0.31778565,0.42878532
5.1602125,7.2975116,0.52323914,0.95458585,0.35774398,0.42587626
4.929876,6.3187027,0.5547523,0.97291636,0.34339422,0.42486894
5.2774715,6.5447903,0.51950395,0.9649255,0.34110284,0.42922607
10.944376,12.418958,0.1876198,0.073120594,0.3001215,0.46729118
10.296942,14.11158,0.28432906,0.08513546,0.44815996,0.44576076
4.519122,6.2572803,0.57821584,0.9769468,0.35167038,0.42690778
4.1086173,6.945773,0.6630722,0.94264674,0.32102308,0.43264055
8.622655,13.1656475,0.2668565,0.0661608,0.30581424,0.46310204
6.2399044,11.702023,0.6288294,0.53256553,0.47558132,0.4273632
4.7055745,6.336528,0.5306977,0.9739575,0.3605644,0.42931554
11.782425,13.743952,0.15061933,0.026365608,0.33380574,0.4662467
10.685614,13.249179,0.21920663,0.041096002,0.32662195,0.4651687
11.647548,14.228397,0.15684262,0.02072066,0.35565147,0.465075
