norm i,sigmoid norm i,norm o,sigmoid norm o,norm f,sigmoid norm f,norm cell state,c1,c2
1.0659191608428955,0.743820071220398,0.8411628007888794,0.698710024356842,0.37538787722587585,0.5927602648735046,0.7443987131118774,0.0069277286529541016,-0.05942648649215698
1.0659984350204468,0.7438352108001709,0.8410692811012268,0.6986903548240662,0.37524697184562683,0.5927262306213379,0.7446459531784058,0.006858348846435547,-0.059105753898620605
1.0660775899887085,0.7438502907752991,0.8409762978553772,0.6986708045005798,0.3749936819076538,0.5926650762557983,0.7448925375938416,0.006742954254150391,-0.05878591537475586
1.0661565065383911,0.7438653111457825,0.8408833742141724,0.6986512541770935,0.37492161989212036,0.5926476716995239,0.7451385259628296,0.00670170783996582,-0.058466970920562744
1.0662351846694946,0.7438803315162659,0.8407905697822571,0.6986316442489624,0.3745749294757843,0.5925639867782593,0.745383620262146,0.0065479278564453125,-0.05814915895462036
1.066313624382019,0.7438952922821045,0.8406975269317627,0.6986120343208313,0.3744281828403473,0.5925285220146179,0.7456279993057251,0.006476044654846191,-0.057832300662994385
1.0663918256759644,0.7439101338386536,0.8406040668487549,0.6985923647880554,0.37424927949905396,0.5924853682518005,0.7458715438842773,0.006391167640686035,-0.057516634464263916
1.0664697885513306,0.7439249753952026,0.8405092358589172,0.6985724568367004,0.374139666557312,0.5924589037895203,0.7461141347885132,0.0063343048095703125,-0.05720233917236328
1.0665473937988281,0.7439397573471069,0.8404133319854736,0.6985522508621216,0.3740158677101135,0.592428982257843,0.7463557720184326,0.0062716007232666016,-0.05688953399658203
1.066624641418457,0.7439545392990112,0.8403175473213196,0.6985321044921875,0.3739153742790222,0.5924047231674194,0.7465962171554565,0.006218433380126953,-0.05657815933227539
1.0667016506195068,0.7439691424369812,0.8402215242385864,0.6985118985176086,0.37369829416275024,0.5923523306846619,0.7468357086181641,0.006117463111877441,-0.05626821517944336
1.066778302192688,0.7439837455749512,0.8401243686676025,0.6984913945198059,0.3734531104564667,0.5922930836677551,0.7470740079879761,0.006004691123962402,-0.055959999561309814
1.0668545961380005,0.7439983487129211,0.8400260806083679,0.6984707117080688,0.3732296824455261,0.5922391414642334,0.747310996055603,0.005900859832763672,-0.05565345287322998
1.0669304132461548,0.744012713432312,0.8399267792701721,0.6984497904777527,0.37301984429359436,0.5921884775161743,0.7475467920303345,0.0058023929595947266,-0.05534881353378296
1.0670058727264404,0.7440270781517029,0.8398263454437256,0.6984285712242126,0.3729737102985382,0.5921773314476013,0.7477813363075256,0.00577092170715332,-0.055046021938323975
1.0670808553695679,0.744041383266449,0.8397260904312134,0.6984075307846069,0.3728044629096985,0.5921365022659302,0.7480144500732422,0.005689144134521484,-0.05474501848220825
1.0671554803848267,0.7440556287765503,0.8396267890930176,0.6983866095542908,0.372514933347702,0.5920665264129639,0.7482461929321289,0.005557894706726074,-0.054445624351501465
1.0672296285629272,0.7440697550773621,0.8395264744758606,0.6983654499053955,0.37244167923927307,0.5920488238334656,0.7484763860702515,0.0055152177810668945,-0.05414861440658569
1.0673032999038696,0.7440837025642395,0.8394253253936768,0.6983441710472107,0.3720121383666992,0.5919451117515564,0.7487051486968994,0.005326509475708008,-0.053853631019592285
1.0673764944076538,0.7440977096557617,0.8393229246139526,0.698322594165802,0.3718789219856262,0.5919129252433777,0.7489322423934937,0.005259037017822266,-0.05356091260910034
1.0674492120742798,0.7441115379333496,0.8392210602760315,0.6983011364936829,0.3717917799949646,0.5918918251991272,0.7491577863693237,0.005210518836975098,-0.05327028036117554
1.067521333694458,0.744125247001648,0.8391189575195312,0.6982796788215637,0.37138572335243225,0.5917937755584717,0.7493816614151001,0.0050313472747802734,-0.052981793880462646
1.067592978477478,0.7441388964653015,0.8390166163444519,0.6982580423355103,0.3711727559566498,0.5917423367500305,0.749603807926178,0.004931211471557617,-0.05269581079483032
