gamma,thd,NRMSE,r2,c1,c2
44.0,44.0,0.4634085787328398,0.7717941685186207,-0.2488685250282287,-0.5012701749801636
5.0,44.0,0.3487486891095695,0.892315834594793,-0.2492532730102539,-0.4636508226394653
0.0,67.0,0.2701119868949964,0.9293668758131336,0.0381929874420166,0.0128326416015625
56.0,67.0,0.3449721708769342,0.8896565558498872,-0.249091625213623,-0.7235751152038574
11.0,67.0,0.3854827533098384,0.8533077715261512,-0.2490804195404052,-0.6778985261917114
67.0,67.0,0.3970708039815278,0.8427903232304166,-0.249143898487091,-0.6911552548408508
22.0,67.0,0.363868508592198,0.876164074539772,-0.248953104019165,-0.7162878513336182
78.0,67.0,0.409681042034331,0.8270670572463115,-0.2491545677185058,-0.7060607075691223
33.0,67.0,0.3569167529429541,0.871374698762406,-0.2491925954818725,-0.7255737781524658
89.0,67.0,0.3902116841634611,0.8516582420124962,-0.2491691708564758,-0.7159139513969421
44.0,67.0,0.3253628662971204,0.9041741208713314,-0.2493558526039123,-0.6867890357971191
5.0,67.0,0.3301835137624616,0.8927323896415476,-0.2491244673728943,-0.6785867214202881
0.0,89.0,0.2740575253335037,0.9248098411128752,0.0118168592453002,0.0379568338394165
56.0,89.0,0.4762509798297096,0.7662483968025984,-0.2487961649894714,-0.9494617581367492
11.0,89.0,0.3831806150951228,0.857403166979914,-0.2489138841629028,-0.9061900973320008
67.0,89.0,0.3788969053566521,0.8625204855475399,-0.2490739226341247,-0.8940063714981079
22.0,89.0,0.3667593914793074,0.8665939307819335,-0.2491949200630188,-0.8908816576004028
78.0,89.0,0.328763809843494,0.8989742356228374,-0.2491585612297058,-0.8925999402999878
33.0,89.0,0.4532351126460966,0.7885505457427452,-0.2492415904998779,-0.9078521132469176
89.0,89.0,0.3967157863783554,0.8445849543244575,-0.2490959167480468,-0.9021990299224854
44.0,89.0,0.3293103703157774,0.9018442765961884,-0.2492622137069702,-0.8959915041923523
5.0,89.0,0.497875142911294,0.7447619833972171,-0.2490459680557251,-0.9016489386558532
0.0,11.0,0.2798437993506401,0.9270238476565954,-0.0207558274269104,-0.0206533670425415
56.0,11.0,0.440868486861834,0.7964278709137821,-0.2489330768585205,-0.997408926486969
11.0,11.0,0.4846377828453455,0.7580029616302474,-0.2490716576576233,-0.9969892501831056
67.0,11.0,0.3919314800176021,0.8587032744326415,-0.2488582730293274,-0.9966036081314088
22.0,11.0,0.3749192970045734,0.8624546100259629,-0.2490164041519165,-0.9971741437911988
78.0,11.0,0.5260083936229369,0.6984938814294406,-0.2490848898887634,-0.99778950214386
33.0,11.0,0.4547332453837536,0.781211602912973,-0.2490759491920471,-0.9969978332519532
89.0,11.0,0.3252476509425339,0.8954664086546232,-0.249012291431427,-0.9975492358207704
44.0,11.0,0.4412227699203475,0.7893305636347766,-0.249239444732666,-0.9971250295639038
5.0,11.0,0.4026673081227349,0.8337412045210179,-0.2491978406906128,-0.9971471428871156
0.0,33.0,0.2887739637867402,0.9112069087083384,0.0005272626876831,-0.0071725845336914
56.0,33.0,0.45637998655968,0.7871924906531669,-0.2489585876464843,-0.9979410767555236
11.0,33.0,0.505706776608363,0.7305060148362317,-0.2489755749702453,-0.997344434261322
67.0,33.0,0.3475679499108641,0.8841854283695243,-0.2491540312767028,-0.9978572726249696
22.0,33.0,0.4164447442211916,0.8450511993270924,-0.2491999864578247,-0.9972068667411804
78.0,33.0,0.3079146686912629,0.9068140173558596,-0.2490803599357605,-0.997383713722229
33.0,33.0,0.5289030854669893,0.689900474860493,-0.2490540742874145,-0.9977164268493652
89.0,33.0,0.3434056886927454,0.8761808726937533,-0.2492275238037109,-0.997606873512268
44.0,33.0,0.3676237633377611,0.8676015350148922,-0.2491906881332397,-0.9972959756851196
5.0,33.0,0.3820821073143356,0.855933974307313,-0.249121606349945,-0.9969130754470824
0.0,56.0,0.2820246854901364,0.9144710277370814,-0.0194298028945922,0.0533843040466308
56.0,56.0,0.3944200452859434,0.843443106703323,-0.249123990535736,-0.9974127411842346
11.0,56.0,0.4737581529472001,0.7797385603217752,-0.2490882873535156,-0.9984819889068604
67.0,56.0,0.3689908899300083,0.8604682290441382,-0.2489625811576843,-0.9976106286048888
22.0,56.0,0.3890496063369077,0.8575346339821428,-0.2492654919624328,-0.9976121187210084
78.0,56.0,0.4453069327131903,0.7986890227153247,-0.2492932677268982,-0.9977403879165648
33.0,56.0,0.3465567602330108,0.8867349860755371,-0.2492016553878784,-0.9971450567245485
